iter	RMSE
0	9.148119221
1	8.898822971
2	8.624440321
3	8.391140856
4	8.153696955
5	7.951692821
6	7.75753201
7	7.546873509
8	7.375500167
9	7.225505517
10	7.070021125
11	6.910652232
12	6.789449148
13	6.648899255
14	6.519660686
15	6.407533204
16	6.274050839
17	6.173983571
18	6.077455078
19	5.958148731
20	5.863971329
21	5.789901589
22	5.711621817
23	5.638534451
24	5.570054411
25	5.505347217
26	5.440051345
27	5.386437368
28	5.328704174
29	5.284734138
30	5.236909372
31	5.175529437
32	5.135892427
33	5.094717517
34	5.050688209
35	5.019403336
36	4.978867311
37	4.951453654
38	4.926504767
39	4.894613839
40	4.871587235
41	4.843171017
42	4.822137393
43	4.804122657
44	4.785284337
45	4.765998553
46	4.731815879
47	4.716702238
48	4.697551672
49	4.680282456
50	4.658908186
51	4.638450611
52	4.627813492
53	4.615816709
54	4.606985566
55	4.587275058
56	4.578894018
57	4.570136609
58	4.558603906
59	4.540000269
60	4.531260848
61	4.518822187
62	4.510182052
63	4.49945514
64	4.49328391
65	4.485061033
66	4.472118469
67	4.465899381
68	4.461422623
69	4.45513122
70	4.445643725
71	4.441618262
72	4.43771213
73	4.43427112
74	4.428300093
75	4.424442436
76	4.412745928
77	4.409113047
78	4.402593551
79	4.4000177
80	4.396551421
81	4.390730564
82	4.386215505
83	4.381695458
84	4.377205258
85	4.37360358
86	4.366220717
87	4.359396644
88	4.35724803
89	4.353830999
90	4.34564266
91	4.341922374
92	4.338285716
93	4.334315732
94	4.328116302
95	4.324355116
96	4.321721965
97	4.316045693
98	4.314310948
99	4.31211843
100	4.308732892
101	4.305954786
102	4.302481293
103	4.299095396
104	4.29784727
105	4.296564819
106	4.294889216
107	4.290798742
108	4.281637457
109	4.279559493
110	4.274126047
111	4.273056186
112	4.267692725
113	4.266462112
114	4.265280232
115	4.263538246
116	4.252504098
117	4.251775522
118	4.250745389
119	4.249678438
120	4.248707062
121	4.246449732
122	4.243383795
123	4.242412636
124	4.236157797
125	4.235132399
126	4.234021862
127	4.232803751
128	4.221256273
129	4.218860215
130	4.21804647
131	4.216959431
132	4.216151523
133	4.21382276
134	4.212662566
135	4.211429678
136	4.210157103
137	4.209005737
138	4.204966073
139	4.204349234
140	4.203391139
141	4.203391028
142	4.202283498
143	4.201886837
144	4.201242623
145	4.200205607
146	4.200205215
147	4.199408079
148	4.198335013
149	4.190788314
150	4.187972244
151	4.187314471
152	4.187158982
153	4.186304945
154	4.185180167
155	4.184764602
156	4.184533321
157	4.184262714
158	4.183970643
159	4.183692977
160	4.183378926
161	4.182910275
162	4.182418464
163	4.180188618
164	4.17957584
165	4.17950755
166	4.178933414
167	4.172924506
168	4.172006659
169	4.171486367
170	4.170685495
171	4.167623667
172	4.167408598
173	4.166932286
174	4.166510026
175	4.165974185
176	4.165891284
177	4.165668348
178	4.165353613
179	4.164096872
180	4.16358291
181	4.16339987
182	4.163326232
183	4.162704461
184	4.154762623
185	4.154062912
186	4.153585618
187	4.150504738
188	4.14992562
189	4.148816665
190	4.145441972
191	4.145018911
192	4.144956312
193	4.144890313
194	4.144356127
195	4.143454309
196	4.143129715
197	4.14220827
198	4.141443122
199	4.141415837
200	4.141306091
201	4.140649231
202	4.139968931
203	4.13952397
204	4.139152225
205	4.138239851
206	4.136140267
207	4.136027702
208	4.132891591
209	4.131088488
210	4.130647658
211	4.130591678
212	4.130448206
213	4.130182226
214	4.12995649
215	4.127143
216	4.126753941
217	4.126283302
218	4.125844747
219	4.125421425
220	4.124645538
221	4.124528833
222	4.124472368
223	4.123477776
224	4.123445515
225	4.123341045
226	4.123158761
227	4.12258268
228	4.122291892
229	4.120580296
230	4.120516551
231	4.113578172
232	4.113396242
233	4.113202649
234	4.112966694
235	4.111233531
236	4.111181229
237	4.109754429
238	4.109304633
239	4.107328427
240	4.106436671
241	4.098386054
242	4.098077692
243	4.097729223
