iter	Passed	Remaining
0	325	129764
1	569	113410
2	765	101310
3	929	92067
4	1182	93381
5	1431	93979
6	1633	91718
7	1793	87888
8	1958	85082
9	2098	81854
10	2244	79385
11	2407	77845
12	2596	77304
13	2734	75396
14	2906	74597
15	3065	73568
16	3228	72730
17	3378	71692
18	3568	71562
19	3767	71581
20	3927	70877
21	4078	70070
22	4218	69140
23	4358	68282
24	4497	67460
25	4649	66879
26	4795	66247
27	4968	66014
28	5122	65531
29	5277	65092
30	5465	65051
31	5616	64589
32	5764	64105
33	5904	63563
34	6075	63358
35	6244	63135
36	6445	63238
37	6602	62901
38	6775	62714
39	6925	62325
40	7117	62323
41	7261	61897
42	7406	61490
43	7569	61244
44	7719	60898
45	7862	60510
46	8018	60221
47	8172	59934
48	8337	59725
49	8505	59541
50	8657	59243
51	8982	60113
52	9154	59937
53	9313	59674
54	9454	59306
55	9654	59305
56	9824	59121
57	9999	58962
58	10181	58846
59	10340	58594
60	10489	58293
61	10674	58192
62	10827	57916
63	10974	57617
64	11161	57524
65	11338	57377
66	11482	57071
67	11678	57019
68	11840	56800
69	11985	56503
70	12124	56183
71	12274	55916
72	12436	55707
73	12637	55671
74	12806	55494
75	12970	55295
76	13112	55002
77	13277	54812
78	13494	54830
79	13645	54583
80	13857	54575
81	14021	54375
82	14158	54077
83	14306	53818
84	14464	53603
85	14640	53453
86	14824	53333
87	14987	53135
88	15150	52941
89	15294	52680
90	15430	52397
91	15587	52183
92	15736	51946
93	15888	51722
94	16082	51634
95	16226	51382
96	16399	51227
97	16568	51057
98	16711	50809
99	16913	50740
100	17084	50578
101	17277	50477
102	17461	50349
103	17621	50154
104	17766	49914
105	17900	49647
106	18046	49415
107	18190	49180
108	18365	49031
109	18523	48833
110	18677	48629
111	18852	48478
112	19006	48273
113	19153	48051
114	19319	47879
115	19457	47637
116	19625	47469
117	19786	47286
118	19945	47098
119	20108	46920
120	20328	46874
121	20498	46710
122	20689	46593
123	20918	46559
124	21073	46360
125	21293	46305
126	21469	46150
127	21618	45939
128	21767	45729
129	21903	45492
130	22154	45492
131	22306	45288
132	22523	45216
133	22713	45088
134	22867	44888
135	23019	44684
136	23171	44482
137	23306	44249
138	23477	44083
139	23618	43862
140	23794	43707
141	23869	43369
142	24017	43164
143	24158	42948
144	24312	42756
145	24460	42554
146	24525	42210
147	24664	41996
148	24830	41829
149	24998	41664
150	25130	41439
151	25272	41233
152	25412	41025
153	25575	40854
154	25735	40678
155	25907	40521
156	26119	40427
157	26278	40249
158	26439	40074
159	26592	39888
160	26739	39694
161	26906	39529
162	27044	39322
163	27174	39105
164	27320	38911
165	27385	38603
166	27538	38421
167	27676	38219
168	27840	38054
169	28040	37936
170	28189	37750
171	28346	37576
172	28503	37401
173	28683	37256
174	28871	37120
175	29021	36936
176	29152	36728
177	29334	36585
178	29519	36445
179	29702	36302
180	29856	36124
181	29997	35931
182	30099	35691
183	30255	35517
184	30396	35325
185	30546	35144
186	30688	34955
187	30822	34757
188	30963	34567
189	31098	34372
190	31240	34184
191	31381	33996
192	31493	33778
193	31656	33614
194	31810	33441
195	31965	33270
196	32098	33076
197	32239	32891
198	32386	32712
199	32491	32491
200	32662	32337
201	32822	32172
202	33029	32052
203	33216	31913
204	33393	31764
205	33577	31621
206	33725	31444
207	33874	31268
208	34023	31093
209	34174	30919
210	34340	30760
211	34466	30564
212	34587	30365
213	34763	30215
214	34935	30060
215	35089	29890
216	35290	29761
217	35545	29675
218	35728	29528
219	35938	29404
220	36185	29308
221	36385	29174
222	36634	29077
223	36846	28950
224	37043	28811
225	37217	28654
226	37395	28499
227	37628	28386
228	37805	28230
229	38045	28120
230	38237	27974
231	38432	27830
232	38613	27676
233	38849	27559
234	39036	27408
235	39218	27253
236	39360	27070
237	39565	26931
238	39738	26769
239	39903	26602
240	40077	26441
241	40246	26276
242	40434	26124
243	40593	25953
244	40770	25793
245	40931	25623
246	41120	25471
247	41271	25295
248	41460	25142
249	41656	24994
250	41818	24824
251	41968	24647
252	42171	24502
253	42333	24333
254	42486	24159
255	42643	23986
256	42798	23813
257	42945	23636
258	43097	23462
259	43271	23300
260	43447	23138
261	43600	22965
262	43737	22783
263	43886	22608
264	44032	22431
265	44203	22267
266	44386	22110
267	44545	21940
268	44695	21766
269	44848	21593
270	45012	21426
271	45191	21266
272	45357	21100
273	45539	20941
274	45698	20771
275	45860	20603
276	46014	20432
277	46182	20267
278	46338	20096
279	46519	19937
280	46689	19772
281	46841	19600
282	46993	19428
283	47167	19265
284	47383	19119
285	47562	18958
286	47706	18783
287	47855	18610
288	48009	18439
289	48201	18283
290	48397	18128
291	48555	17958
292	48723	17793
293	48902	17631
294	49075	17467
295	49365	17344
296	49530	17177
297	49724	17019
298	49921	16863
299	50074	16691
300	50262	16531
301	50484	16382
302	50632	16209
303	50804	16043
304	50956	15871
305	51130	15706
306	51325	15548
307	51557	15400
308	51827	15263
309	52014	15100
310	52164	14928
311	52328	14759
312	52522	14598
313	52692	14431
314	52862	14264
315	53047	14101
316	53244	13941
317	53442	13780
318	53637	13619
319	53833	13458
320	53995	13288
321	54178	13123
322	54377	12963
323	54546	12794
324	54789	12643
325	54991	12482
326	55251	12334
327	55594	12203
328	55792	12040
329	55965	11871
330	56267	11729
331	56546	11581
332	56745	11417
333	56940	11251
334	57174	11093
335	57377	10928
336	57577	10763
337	58335	10700
338	58586	10542
339	58800	10376
340	58965	10202
341	59180	10036
342	59486	9885
343	59684	9716
344	59837	9539
345	59994	9363
346	60157	9188
347	60336	9015
348	60516	8843
349	60715	8673
350	60896	8501
351	61056	8325
352	61210	8149
353	61392	7977
354	61562	7803
355	61730	7629
356	61870	7452
357	62011	7275
358	62169	7100
359	62313	6923
360	62502	6752
361	62657	6577
362	62801	6401
363	62948	6225
364	63092	6049
365	63223	5873
366	63362	5697
367	63523	5523
368	63676	5349
369	63806	5173
370	63973	5000
371	64172	4830
372	64475	4667
373	64712	4498
374	64904	4326
375	65084	4154
376	65256	3981
377	65442	3808
378	65616	3635
379	65785	3462
380	65926	3287
381	66069	3113
382	66254	2940
383	66435	2768
384	66604	2594
385	66751	2421
386	66912	2247
387	67093	2075
388	67250	1901
389	67383	1727
390	67560	1555
391	67726	1382
392	67879	1209
393	68038	1036
394	68186	863
395	68358	690
396	68541	517
397	68822	345
398	69039	173
399	69225	0
